#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      281.4   301.2    86.8   137.9   150.9   233.7   281.3   310.8   334.0   364.2   406.3   483.5  1077.2  3853.9  9778.2  30001.7    30000  1684248849819  1684248859954
read      285.3   373.9    86.8   132.3   143.9   225.7   274.8   306.4   331.5   364.5   409.0   486.1  1372.9  4379.6  9428.5  30016.6    30005  1684248861463  1684248871583
read      280.5   369.5    80.4   129.9   141.3   221.7   270.0   300.3   324.8   357.7   401.8   475.8  1353.0  4327.6  8541.6  30055.4    30010  1684248873091  1684248883204
read      313.0   456.6    86.8   136.4   149.2   240.4   295.1   330.3   359.0   395.6   447.3   539.2  2442.4  5159.6 15152.7  30054.1    30015  1684248884713  1684248894823
read      288.4   369.8    80.4   131.8   143.5   228.5   279.1   311.3   337.1   370.3   417.1   497.6  1370.1  4442.1 11515.4  30003.4    30020  1684248896334  1684248906442
read      303.8   419.5    86.8   135.9   148.3   235.9   289.5   322.1   349.4   386.2   435.2   524.8  1799.9  5031.7 12503.5  29912.2    30025  1684248907953  1684248918061
read      299.7   387.0    86.8   136.2   148.7   235.3   287.6   319.3   346.0   382.0   430.5   517.3  1743.9  4517.8  9710.6  29999.5    30030  1684248919570  1684248929679
read      302.1   470.8    86.8   135.0   146.9   231.1   282.3   314.8   341.7   377.0   426.3   515.9  1839.0  5652.1 16514.5  29997.1    30035  1684248931185  1684248941288
read      251.8   311.4    80.4   130.4   141.2   219.0   265.4   292.9   314.2   341.7   381.5   445.0   590.5  2887.7 16794.8  29985.0    30040  1684248942797  1684248952907
read      244.0   195.0    80.4   131.9   142.8   215.4   259.4   286.6   307.6   334.4   371.2   429.0   556.7  2006.0  8071.9  30010.8    30045  1684248954417  1684248964529
read      254.9   219.5    86.8   133.6   146.4   225.9   270.2   296.5   317.3   343.9   382.5   441.5   590.5  3019.6  9494.3  29996.0    30050  1684248966038  1684248976143
read      277.4   207.2    80.4   146.9   162.5   251.0   297.2   324.9   346.0   373.3   412.0   475.3   620.8  2096.6  8801.0  29984.6    30055  1684248977651  1684248987761
read      278.3   197.0    80.4   152.5   167.8   253.0   296.4   322.2   342.7   368.5   402.9   463.3   608.6  2368.1  8241.1  30121.3    30060  1684248989267  1684248999367
read      280.5   205.4    86.8   150.1   166.1   254.9   299.9   326.9   347.3   374.1   411.3   473.5   627.0  2224.0  8413.4  30103.9    30065  1684249000876  1684249010982
read      286.1   260.2    80.4   151.6   167.5   256.2   302.1   330.6   352.6   379.8   416.8   478.1   639.8  2986.8 11644.1  30066.6    30070  1684249012492  1684249022605
read      290.7   304.8    86.8   149.4   166.8   260.6   308.0   336.7   359.4   388.4   429.2   499.8   666.8  2481.6 12585.0  30149.7    30075  1684249024112  1684249034224
read      289.2   231.5    80.4   149.1   166.1   261.1   309.0   337.4   359.9   388.3   427.6   495.6   655.4  2663.3  8789.9  30016.9    30080  1684249035734  1684249045842
read      272.6   210.5    80.4   143.4   160.0   246.3   290.6   317.0   338.0   364.5   400.7   465.5   609.6  2361.8  8464.2  30017.8    30085  1684249047354  1684249057456
read      281.7   218.0    74.4   149.8   166.0   255.0   299.7   326.9   347.4   374.8   412.7   478.1   619.0  2663.6  8534.6  30033.3    30090  1684249058966  1684249069078
read      282.5   262.2    86.8   147.7   163.8   253.9   299.8   326.9   347.5   374.0   411.0   472.2   635.7  3153.0 12031.4  30092.8    30095  1684249070588  1684249080691
read      277.2   220.9    86.8   144.2   161.0   249.6   295.0   322.2   343.6   371.4   410.5   478.5   631.6  2519.1  8634.7  30061.5    30100  1684249082198  1684249092309
read      279.4   235.1    86.8   147.5   163.7   252.4   297.9   325.4   346.2   372.8   409.5   469.8   616.2  2796.1  8789.2  30038.2    30105  1684249093823  1684249103934
read      283.9   234.7    86.8   150.7   167.0   256.9   302.4   329.8   350.9   378.0   415.8   480.6   628.5  2334.2 10821.5  30148.5    30110  1684249105449  1684249115565
