#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.2   375.6   173.5   240.8   265.1   343.0   371.3   388.6   400.1   416.7   436.6   478.1   625.2  7147.2 15704.1   4939.4     5000  1684404563150  1684404568500
read      382.0   285.8   160.7   221.8   239.8   369.5   417.0   440.3   457.8   476.7   501.6   540.0   638.5  3961.9  9995.2  10036.4    10000  1684404570004  1684404575334
read      391.6   243.9   160.7   216.7   232.9   374.7   439.5   473.3   494.7   518.1   546.5   590.8   689.2  3455.7  9147.3  14922.8    15000  1684404576838  1684404582135
read      406.7   264.5   160.7   215.9   232.3   380.1   455.4   495.8   522.9   552.0   590.5   644.5   778.8  3115.8  9315.1  20029.6    20000  1684404583639  1684404588934
read      401.5   221.0   160.7   212.5   228.1   372.3   448.6   493.4   523.8   557.6   601.7   664.6   817.3  1990.1  8686.4  24957.0    25000  1684404590437  1684404595740
read      413.8   237.0   148.8   211.1   226.1   374.7   455.3   504.8   541.4   584.5   638.0   729.3   991.4  2373.3  7775.4  30033.6    30000  1684404597243  1684404602537
read      423.4   237.0   160.7   211.5   226.3   377.1   466.3   521.4   562.3   611.2   671.6   777.3  1073.1  1689.8  8546.5  34995.2    35000  1684404604040  1684404609334
read      429.5   301.9   160.7   209.3   222.3   356.9   453.5   513.6   561.4   622.9   715.3   912.8  1277.9  2445.0 11059.4  40065.2    40000  1684404610838  1684404616120
read      422.5   266.2   160.7   210.6   224.5   365.8   458.4   517.2   564.4   620.4   687.0   799.7  1123.0  1849.5  8715.4  44992.2    45000  1684404617624  1684404622914
read      408.7   217.4   160.7   208.3   221.7   354.7   442.1   501.7   550.3   609.0   672.9   768.4  1067.8  1643.4  5653.0  49897.8    50000  1684404624418  1684404629695
read      408.9   282.8   160.7   205.5   218.1   338.7   430.6   489.4   538.0   597.8   678.4   821.6  1239.5  2462.1 10187.4  55036.6    55000  1684404631199  1684404636477
read      397.1   251.1   160.7   205.3   217.2   332.0   415.7   470.9   517.6   579.4   660.6   802.9  1153.9  1647.4  8060.7  60081.6    60000  1684404637981  1684404643259
read      400.4   258.4   160.7   204.4   216.5   331.2   415.6   470.8   518.9   583.4   673.8   836.2  1223.5  1723.2  6510.0  64864.2    65000  1684404644762  1684404650066
read      405.3   280.3   160.7   205.8   219.0   335.4   419.4   476.3   526.0   589.5   675.5   835.4  1231.6  1804.4  8620.4  69652.6    70000  1684404651569  1684404656855
read      407.7   256.1   148.8   207.7   221.1   337.5   419.9   477.6   529.0   594.4   682.0   850.8  1227.6  1827.1  8057.8  74967.4    75000  1684404658358  1684404663639
read      389.1   255.1   148.8   204.4   216.8   325.2   398.5   449.4   493.8   552.7   637.8   796.1  1172.1  1831.3  8539.8  80002.6    80000  1684404665142  1684404670422
read      395.2   273.7   160.7   206.4   219.4   326.6   399.3   449.6   494.1   556.9   649.4   825.1  1243.0  1927.2  9695.1  85098.4    85000  1684404671925  1684404677204
read      391.2   280.2   160.7   206.0   219.5   330.2   398.9   445.8   488.6   545.5   622.6   763.1  1203.7  2539.2 11075.0  89971.4    90000  1684404678707  1684404684000
read      448.8   388.9   148.8   213.6   228.4   336.2   419.5   486.0   546.8   635.1   793.6  1072.1  1836.9  4310.9  9038.2  95063.6    95000  1684404685503  1684404690783
read      478.6   438.4   148.8   217.2   232.2   333.3   424.8   511.4   596.0   726.1   950.1  1269.4  1877.2  3731.3 12261.8  99876.4   100000  1684404692286  1684404697563
read      668.7   838.0   160.7   258.4   275.6   340.7   408.1   868.7  1294.4  1452.2  1566.7  1717.6  2678.1  8616.0 31416.1  98593.2   105000  1684404699065  1684404704366
read      640.6   779.2   148.8   244.9   261.2   332.7   403.9   803.7  1176.8  1412.5  1525.3  1687.3  2597.8  8683.1 30835.8 102064.6   110000  1684404705869  1684404711151
read      668.9   882.5   160.7   260.7   277.4   340.2   401.8   857.3  1278.9  1447.7  1557.7  1704.2  2619.2 11604.0 30471.5  98531.3   115000  1684404712654  1684404717930
read      665.3   979.2   160.7   257.9   273.3   336.2   400.8   801.7  1235.6  1436.9  1552.7  1708.8  2662.2 10966.8 32001.4  99516.2   120000  1684404719434  1684404724707
read      650.5   830.4   160.7   255.3   268.7   330.4   390.6   791.7  1242.5  1433.7  1546.8  1701.0  2607.8 10159.8 30851.6 101312.0   125000  1684404726210  1684404731494
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.56%,4.52%,100.00%
