#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      371.7   415.4   173.5   240.1   265.2   344.6   373.4   391.5   403.1   421.5   444.0   485.7   630.1  7575.1 15714.3   4922.6     5000  1684406727002  1684406732350
read      379.8   283.3   160.7   219.0   236.9   366.1   414.3   438.0   456.0   474.7   499.2   537.7   637.8  3917.3 11089.8   9962.6    10000  1684406733853  1684406739192
read      380.4   218.7   160.7   215.3   230.6   362.3   426.8   459.2   480.8   503.7   533.8   576.7   668.7  2799.3  9614.1  15047.2    15000  1684406740694  1684406746004
read      392.1   229.7   160.7   212.6   228.8   366.4   440.2   482.3   507.1   537.1   573.0   622.1   721.0  2374.1 10250.7  20018.2    20000  1684406747507  1684406752808
read      405.6   261.4   160.7   208.0   222.3   363.9   443.1   489.2   521.8   562.8   624.5   760.4  1005.6  1356.0 11211.3  25064.8    25000  1684406754313  1684406759600
read      417.1   250.3   160.7   212.9   228.3   383.8   464.4   511.3   545.1   585.5   635.7   710.0   910.6  2425.2  9983.1  29952.0    30000  1684406761102  1684406766396
read      421.2   282.9   160.7   210.8   225.4   376.8   462.4   516.1   556.3   604.5   662.2   745.8  1016.3  2794.7 11017.3  34817.8    35000  1684406767900  1684406773195
read      424.2   308.1   160.7   208.9   222.1   356.8   453.0   512.8   560.0   619.3   694.5   855.9  1224.6  1907.6 12325.1  40052.7    40000  1684406774699  1684406779984
read      417.1   265.1   148.8   207.7   220.8   348.9   443.0   506.0   555.2   616.1   691.7   835.3  1194.4  2034.6  8319.2  45023.2    45000  1684406781487  1684406786763
read      413.2   250.0   160.7   207.2   220.7   351.9   444.0   504.5   551.9   610.2   682.3   806.1  1161.6  1584.9  7758.3  49897.8    50000  1684406788266  1684406793543
read      400.5   266.0   160.7   205.4   217.8   339.3   423.4   480.9   528.3   584.9   656.7   774.7  1152.7  1863.1  9906.6  54977.8    55000  1684406795046  1684406800337
read      403.2   272.8   148.8   204.6   216.7   332.8   419.8   477.0   524.3   586.7   673.3   838.5  1233.3  1710.2  9502.2  59862.2    60000  1684406801840  1684406807121
read      402.2   288.8   160.7   204.3   216.3   329.0   413.0   469.6   516.4   577.8   668.8   852.5  1285.5  1986.2  8465.4  64985.7    65000  1684406808625  1684406813905
read      396.9   281.1   160.7   204.0   215.6   322.5   401.3   456.3   503.7   572.0   667.3   846.2  1283.9  1964.4  9453.7  70113.2    70000  1684406815408  1684406820695
read      387.2   239.1   160.7   206.1   219.0   331.9   403.9   453.4   494.9   548.6   624.9   740.8  1102.1  1662.7  8315.9  74743.0    75000  1684406822199  1684406827490
read      401.6   283.8   148.8   205.9   218.9   328.8   406.0   460.5   509.1   577.4   667.1   843.2  1276.9  2451.5  8711.5  79936.8    80000  1684406828993  1684406834273
read      416.2   283.2   148.8   208.1   222.5   341.7   423.9   480.4   532.4   602.7   698.8   897.7  1287.6  2105.3  8507.3  84952.6    85000  1684406835777  1684406841051
read      475.4   382.5   160.7   219.7   236.0   350.1   446.9   529.5   604.7   710.1   886.3  1142.4  1881.4  2974.2 11216.4  90060.8    90000  1684406842553  1684406847826
read      562.2   523.7   148.8   226.6   244.9   353.4   523.7   674.2   816.8   989.2  1133.4  1483.5  2267.3  3856.5 15576.7  94659.0    95000  1684406849329  1684406854597
read      684.3   817.6   160.7   264.6   282.1   347.7   430.5   943.5  1346.6  1472.0  1585.6  1730.7  2683.8  8619.7 30694.5  95643.0   100000  1684406856101  1684406861371
read      664.0   770.9   160.7   256.3   273.0   341.8   460.4   900.6  1270.8  1442.9  1556.9  1707.8  2551.7  7892.3 28590.5  99034.8   105000  1684406862875  1684406868170
read      683.9   892.3   160.7   263.3   280.6   347.3   428.7   913.1  1314.2  1463.0  1577.3  1723.9  2660.9 11006.2 31057.4  96446.6   110000  1684406869674  1684406874960
read      677.7   821.4   160.7   260.2   277.6   347.0   440.4   894.4  1281.4  1453.8  1573.6  1727.7  2670.4  8910.1 28319.1  97084.0   115000  1684406876466  1684406881749
read      664.2   886.9   160.7   257.5   274.2   337.7   398.9   806.7  1247.5  1438.7  1550.7  1709.2  2672.1 11699.9 30898.8  99275.6   120000  1684406883254  1684406888527
read      653.7   813.3   160.7   254.0   267.8   336.0   411.5   814.8  1217.1  1425.4  1539.2  1699.3  2603.0 10788.8 27206.7 100592.5   125000  1684406890031  1684406895316
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.95%,1.52%,100.00%
