Random waveform, random seed
Total number of intervals = 120 (54002, 92848, 15127, 64542, 54231, 36978, 27459, 32418, 55802, 43025, 91796, 94309, 57566, 49677, 83727, 56663, 65427, 10878, 96312, 85809, 84485, 52917, 99988, 22555, 69010, 96694, 44873, 83834, 43956, 64676, 28899, 97073, 57546, 85868, 29342, 32201, 14566, 40030, 11950, 54991, 89852, 94274, 28331, 56075, 69071, 81077, 63800, 19629, 97757, 43107, 49081, 32299, 46085, 43418, 53009, 33131, 60790, 73534, 23502, 25272, 37349, 93647, 42250, 89506, 82817, 57242, 16966, 90978, 27205, 34184, 88935, 78207, 89524, 93349, 60534, 42644, 55863, 19588, 86841, 35275, 95712, 67984, 49300, 18377, 59537, 17735, 98082, 95494, 18359, 45419, 58308, 68597, 80424, 19406, 63150, 22357, 65970, 14002, 67394, 8970, 37330, 49297, 51807, 68343, 94884, 28280, 46048, 70789, 58838, 44539, 78671, 5551, 59874, 71833, 31644, 67336, 83838, 16813, 82808, 84623)
Average QPS expected = 56314
Timestamp start: 1684509008765
Timestamp end: 1684510209202

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      454.5   400.3   160.7   212.8   227.5   357.6   462.1   533.8   590.7   664.6   774.9   974.4  1541.0  4010.2 12814.3  54078.1    54002
read      374.2   353.6   160.7   209.4   222.8   308.6   358.4   391.3   419.6   459.2   519.5   645.0  1661.3  3360.9 11308.3  93019.1    92848
read      540.5   634.1   160.7   234.5   256.6   466.0   576.0   641.7   690.3   752.5   831.2   958.3  1485.6  7684.8 30988.5  15111.6    15127
read      422.2   480.9   160.7   213.9   228.0   333.6   411.9   471.6   521.5   581.0   664.3   856.1  1617.6  3789.6 13822.7  64467.3    64542
read      477.0   456.1   160.7   214.4   228.9   363.2   479.0   555.6   620.9   710.1   841.5  1076.4  1642.3  5333.6 12717.3  54113.1    54231
read      497.0   693.2   160.7   217.4   233.2   400.9   515.2   587.9   644.7   716.9   804.5   932.7  1407.3  9971.6 31395.4  37056.4    36978
read      490.9   576.5   160.7   216.8   232.8   409.7   526.1   598.6   650.4   707.4   776.9   867.7  1280.9  7546.6 29573.9  27425.9    27459
read      490.5   786.2   160.7   216.6   232.6   403.8   519.5   592.5   649.3   714.0   790.8   901.5  1311.8  7676.3 29871.7  32327.3    32418
read      481.7   521.3   160.7   214.2   229.2   362.8   477.4   554.8   621.3   711.8   845.7  1078.8  1697.5  6013.1 18703.9  55840.5    55802
read      500.3   667.5   160.7   217.3   233.1   393.7   511.6   586.1   646.3   727.4   832.1  1004.1  1602.8  7956.1 31224.3  43043.9    43025
read      385.8   344.3   160.7   214.3   228.2   323.5   376.8   410.4   438.7   478.1   536.2   649.5  1650.8  3059.9 10635.6  91936.5    91796
read      348.0   338.8   160.7   212.6   225.8   311.9   362.2   393.0   417.4   448.8   492.9   564.0   740.4  2361.2 14296.1  94291.8    94309
read      468.3   515.5   160.7   214.9   229.6   357.4   467.0   543.1   604.5   686.3   814.4  1038.3  1599.2  5314.6 25906.5  57660.2    57566
read      479.9   409.9   160.7   215.9   230.7   377.6   496.8   574.7   638.9   726.3   842.5  1033.8  1566.4  4469.6 12468.1  49698.5    49677
read      389.9   358.1   148.8   214.0   227.6   320.6   376.7   415.1   448.6   494.9   562.3   703.2  1619.8  3146.5 12012.6  83705.0    83727
read      468.5   490.0   160.7   215.7   230.2   358.9   470.6   545.9   607.6   687.3   808.8  1025.3  1613.8  4545.9 19021.9  56679.0    56663
read      406.3   373.8   160.7   212.6   226.5   325.8   400.1   458.3   506.5   566.1   641.6   809.1  1390.5  3773.2 12547.8  65462.6    65427
read      494.0   913.2   160.7   230.9   253.3   428.5   507.0   544.6   571.4   600.9   636.8   695.2  1645.4 10755.8 38274.2  10886.5    10878
read      390.1   479.0   160.7   213.5   227.2   322.6   373.2   403.8   430.9   466.6   520.6   626.4  1726.9  5962.2 16042.9  96263.5    96312
read      350.3   260.5   160.7   211.9   225.2   312.4   364.9   397.8   425.3   460.8   509.9   586.1   769.9  2427.1 11339.5  85681.3    85809
read      346.1   233.5   160.7   210.7   223.9   308.4   359.5   392.1   419.1   455.3   505.2   581.3   744.0  2827.3  8778.5  84400.0    84485
read      473.4   590.5   160.7   213.8   228.4   359.5   474.9   550.4   611.0   688.0   812.1  1031.5  1645.5  6015.6 18659.5  52810.0    52917
read      364.2   305.7   160.7   213.4   227.0   318.7   369.4   399.7   424.5   456.4   501.9   584.5  1467.6  2851.0 11280.5  99794.4    99988
read      481.8   580.5   160.7   217.4   233.8   411.2   525.0   591.2   636.4   683.2   741.4   826.1  1149.1  8581.4 30450.8  22491.0    22555
read      413.7   406.2   160.7   214.3   228.3   331.2   404.2   460.9   507.9   567.7   649.8   838.3  1483.2  3882.1 12334.7  69074.4    69010
read      389.8   373.8   160.7   214.5   228.4   325.0   375.4   405.7   431.8   466.4   520.1   635.5  1751.9  3887.8 11434.5  96737.1    96694
read      471.9   546.9   160.7   214.8   229.7   374.3   492.0   563.5   620.7   692.8   799.0   973.2  1481.0  5902.9 15454.6  44767.8    44873
read      377.7   458.6   160.7   210.7   224.2   311.4   362.8   396.9   426.8   467.4   529.0   633.5  1623.6  4826.6 16310.8  83844.2    83834
read      493.6   530.7   160.7   217.1   232.6   383.7   504.4   581.3   643.1   726.1   840.5  1060.2  1702.9  5811.7 22136.6  43998.7    43956
read      419.0   405.7   160.7   214.8   229.0   335.6   414.2   471.6   521.4   581.7   663.3   840.8  1462.2  4040.4 12934.5  64584.3    64676
read      501.4   582.5   160.7   217.4   233.3   408.9   532.0   610.7   668.5   736.0   817.4   940.1  1421.5  7517.7 29244.1  28952.1    28899
read      388.8   359.6   160.7   216.8   230.8   330.0   384.0   417.6   444.6   480.4   533.8   639.0  1630.3  3461.7 13349.2  97089.9    97073
read      430.1   468.8   160.7   214.1   228.3   340.2   430.0   495.0   545.1   607.0   691.3   886.1  1508.7  3854.8 13241.4  57546.5    57546
read      404.7   422.5   160.7   214.7   228.6   328.0   384.1   419.8   449.9   492.1   555.1   715.9  1732.8  4096.4 11250.6  85798.0    85868
read      476.1   465.8   160.7   216.7   232.8   402.0   514.2   581.3   633.5   691.1   768.7   879.4  1262.9  6294.5 14587.2  29284.5    29342
read      491.3   579.1   160.7   216.6   232.5   404.1   521.6   595.1   653.1   719.2   797.8   920.6  1376.5  7230.0 20448.8  32123.9    32201
read      505.4   851.6   160.7   224.6   243.6   426.8   524.8   575.4   609.7   644.8   687.9   765.0  1490.2 10952.8 32097.4  14606.0    14566
