Random waveform, random seed
Total number of intervals = 120 (21257, 98472, 99385, 54860, 74812, 34374, 56412, 25022, 13667, 40991, 17264, 68474, 16258, 78637, 98263, 9582, 68051, 22444, 99304, 17067, 85588, 72585, 47753, 39595, 20887, 62903, 63533, 99741, 55201, 7634, 13982, 19855, 97801, 36001, 47073, 19170, 86409, 96132, 93091, 8683, 70231, 96349, 36092, 56170, 45086, 56355, 15811, 70698, 61639, 88560, 55595, 72643, 64080, 72644, 85604, 61949, 87359, 10901, 94842, 72605, 84828, 20798, 80234, 61141, 80390, 21672, 43890, 5333, 11671, 32970, 21506, 19175, 68977, 20688, 50117, 57099, 77177, 76678, 47281, 82491, 74986, 15991, 52696, 88814, 41079, 76563, 17491, 81333, 96770, 86331, 25887, 22408, 77311, 40381, 32535, 25963, 60651, 16279, 42716, 33724, 61095, 70459, 30772, 39467, 55219, 25868, 86768, 52291, 26145, 72902, 44359, 96828, 12564, 28113, 88793, 69276, 6714, 39313, 35453, 51764)
Average QPS expected = 52763
Timestamp start: 1684510768352
Timestamp end: 1684511968760

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      464.6   526.1   160.7   216.6   234.2   407.2   513.2   567.0   602.8   639.4   684.5   758.3  1172.4  5849.1 28699.7  21247.8    21257
read      356.4   633.3   160.7   205.7   218.3   294.3   337.1   363.6   385.0   414.1   458.2   534.5  1155.7  9650.5 30696.1  98362.0    98472
read      447.2   321.1   160.7   222.5   240.7   382.8   467.9   524.0   569.8   631.2   731.0   901.5  1171.3  2954.5 10597.3  99307.4    99385
read      465.0   490.6   160.7   214.2   229.4   357.8   462.1   533.2   588.6   658.7   767.6  1000.6  1752.2  5342.3 17092.1  54846.1    54860
read      393.9   348.8   160.7   210.4   224.1   318.0   386.1   437.3   481.0   536.3   613.4   785.7  1396.6  3394.5 11971.9  74717.8    74812
read      469.0   525.2   160.7   215.5   231.3   390.2   503.4   567.9   616.3   676.1   753.9   862.7  1252.0  6732.6 19856.7  34367.5    34374
read      473.6   542.2   160.7   214.0   229.3   373.8   484.1   556.6   618.3   695.9   803.4   988.6  1516.0  6113.5 28770.6  56424.3    56412
read      484.0   600.9   160.7   216.3   233.1   409.3   524.1   593.5   639.6   687.3   745.3   829.1  1230.4  7637.6 30120.7  24978.7    25022
read      486.0   664.2   160.7   225.1   245.1   436.9   526.7   570.3   599.4   631.7   672.7   738.4  1156.8  9831.7 29776.6  13730.4    13667
read      496.2   655.8   160.7   217.3   233.6   402.6   517.9   588.8   645.5   714.7   799.3   935.7  1452.3  8006.1 31403.3  41076.1    40991
