Random waveform, supplied seed
Total number of intervals = 80 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723)
Average QPS expected = 52361
Timestamp start: 1684429459279
Timestamp end: 1684430259737

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      415.2   734.0   160.7   225.2   246.1   367.1   405.6   427.0   441.9   461.2   487.2   534.0  1550.5  8487.8 31534.2   7396.8     7434
read      406.5   402.1   160.7   204.2   215.6   321.4   401.8   460.8   511.4   582.5   677.2   850.4  1360.1  4065.3 12129.4  67041.7    67201
read      397.7   392.4   160.7   210.3   223.6   324.0   382.3   419.6   451.1   492.9   553.1   723.5  1711.6  3579.2 12886.6  85885.7    85927
read      405.4   406.6   160.7   205.8   217.8   318.5   399.4   457.1   504.8   569.3   665.2   859.7  1390.2  4321.7 11769.3  64143.0    63953
read      436.4   575.0   160.7   205.7   218.8   366.9   460.2   518.7   562.7   612.0   669.2   751.3  1106.6  7794.2 30681.8  31589.6    31595
read      361.7   284.6   148.8   207.3   219.7   301.8   356.8   393.9   425.1   466.8   527.3   649.5  1345.1  2896.1  7801.6  87958.4    87879
read      445.0   970.1   160.7   225.8   246.7   374.0   417.2   438.8   455.6   472.6   499.4   545.2  2238.9 11584.5 33010.2   7318.9     7287
read      417.3   445.2   148.8   204.8   216.8   331.0   419.6   480.1   531.2   599.9   689.6   855.5  1375.6  5138.2 13843.5  62190.4    62295
read      472.8  1201.6   160.7   227.6   250.5   372.2   413.3   434.4   451.1   468.6   496.3   543.8  3676.2 20674.8 37847.9   6534.5     6561
read      436.7   571.0   148.8   207.9   221.9   372.4   463.9   519.5   557.1   597.7   641.9   711.7  1044.0  7042.5 28671.4  22530.1    22532
read      426.5   429.9   148.8   207.9   220.7   336.2   428.3   493.1   546.3   621.6   722.9   910.0  1390.4  3988.6 12020.2  60680.8    60653
read      417.3   436.7   148.8   204.4   216.3   335.5   425.5   487.9   538.4   604.8   685.4   825.8  1298.8  5647.7 14545.0  58979.4    59076
read      415.6   376.0   148.8   205.0   217.1   337.5   427.5   488.7   538.3   602.8   685.3   828.4  1294.8  4465.0  9866.0  60113.9    60154
read      433.6   584.5   148.8   207.3   221.3   371.6   465.5   520.3   556.2   594.9   637.5   695.0   990.5  8290.0 27742.5  22823.5    22964
read      475.7  1151.7   160.7   223.9   243.3   385.4   433.3   457.9   474.2   495.9   522.9   571.5  2688.1 20326.5 35885.6   8189.2     8172
read      435.4   674.2   148.8   206.2   219.8   369.5   464.5   522.6   564.5   610.2   661.1   733.0   994.6  6807.9 28721.5  27624.7    27652
read      434.1   569.7   148.8   205.7   218.9   364.7   456.9   515.5   561.9   615.8   675.0   759.5  1078.0  6848.6 27702.6  37527.8    37594
read      429.2   573.2   148.8   205.5   219.0   366.9   462.0   517.5   554.9   594.4   637.5   695.7   942.3  6886.4 30819.8  24442.0    24367
read      431.4   523.2   148.8   203.9   216.3   365.1   456.5   513.7   558.0   606.9   661.6   737.9  1095.5  7312.3 20623.8  33687.6    33771
read      363.6   313.0   148.8   205.2   216.8   297.4   355.1   395.1   428.9   473.1   537.0   689.7  1424.0  2762.7  9296.5  84801.2    84944
read      350.5   299.3   148.8   204.7   215.9   293.1   347.0   385.8   417.2   458.9   514.5   624.9  1179.1  2857.1  9404.2  85523.3    85666
read      420.5   506.7   148.8   205.4   217.8   338.0   432.3   491.5   538.3   600.4   682.4   818.9  1247.6  6045.8 19632.2  51844.1    51918
read      442.3   613.0   148.8   206.5   219.9   367.6   463.6   522.7   568.6   621.7   682.0   777.1  1169.5  6966.3 30586.4  34521.9    34406
read      445.0   526.0   160.7   209.4   223.9   376.5   478.3   537.9   580.8   628.5   684.2   776.4  1123.9  6245.5 27173.4  28753.3    28664
read      441.3   532.1   160.7   208.8   222.3   368.8   464.3   525.7   575.2   633.8   700.0   800.2  1163.5  6290.1 27248.3  38307.9    38289
read      459.1   775.8   160.7   209.3   223.3   375.5   472.7   524.5   557.7   593.7   636.3   707.0  1905.5  8389.4 35385.0  20710.7    20658
read      470.7  1011.3   160.7   208.7   222.2   382.0   458.8   495.6   519.2   544.3   578.8   634.6  2508.2 16288.2 34387.6  13851.5    13840
read      341.3   287.6   148.8   205.1   216.6   292.5   342.3   375.2   402.9   440.5   492.6   582.0  1066.8  2692.5  9839.2  93344.3    93419
read      332.9   295.2   148.8   205.8   217.5   291.3   335.9   364.5   387.6   417.9   460.9   528.2  1212.1  2771.4 10223.5  98388.8    98284
read      366.8   405.1   148.8   205.2   216.5   297.1   358.6   403.0   441.7   489.2   548.0   683.8  1237.1  3879.7 14387.9  71280.7    71313
read      435.9   546.6   148.8   205.4   217.9   356.6   452.4   513.6   566.2   629.1   700.3   817.2  1265.1  5745.8 20490.5  42017.4    42089
read      438.0   524.8   160.7   206.1   218.8   352.2   455.3   519.3   572.3   636.7   716.6   850.5  1263.8  7328.8 17437.8  46515.0    46458
read      444.4   627.9   148.8   204.2   217.4   366.7   464.0   524.1   568.9   617.9   672.6   754.0  1283.3  7374.2 31166.0  30657.5    30755
read      432.4   537.1   148.8   204.9   217.2   354.0   451.6   512.7   563.9   624.9   695.4   808.3  1180.0  6717.8 24976.2  42881.1    42889
read      362.0   383.5   148.8   206.4   218.7   296.7   344.6   377.0   404.5   444.7   502.5   621.0  1600.4  3982.5 11844.4  93600.7    93552
read      403.3   454.1   148.8   204.3   215.6   314.2   394.2   452.1   499.5   562.7   658.0   844.8  1404.2  4700.5 13212.7  65850.7    65694
read      425.0   551.5   160.7   204.5   216.8   361.5   446.5   503.4   547.0   593.3   641.4   709.0   980.5  7614.6 28955.8  29559.0    29574
read      432.4   577.9   160.7   205.9   218.2   342.5   440.6   506.5   561.9   629.9   713.8   862.8  1284.6  6806.1 15857.8  51395.6    51355
read      416.7   465.2   148.8   204.2   216.2   327.4   412.0   471.5   523.2   594.5   692.1   869.4  1390.8  5190.5 13905.4  67253.4    67361
read      432.0   764.3   160.7   204.9   217.8   372.6   458.2   498.5   523.8   549.5   583.9   634.4  1253.0  9510.9 32161.4  16258.8    16287
read      359.9   272.9   148.8   204.7   216.0   295.8   355.4   397.9   433.2   478.7   540.2   685.1  1256.2  2949.8  7918.6  81438.0    81508
read      359.1   331.3   148.8   204.3   215.2   293.9   348.0   386.9   420.2   464.6   528.7   679.9  1348.4  3111.1 11702.0  87611.9    87619
read      321.7   270.4   148.8   202.7   212.5   281.4   324.1   353.3   376.6   408.4   453.6   521.5   885.2  2702.4  8919.5  99081.3    99068
read      422.4   414.2   148.8   204.1   215.9   336.7   437.0   501.4   551.4   619.2   703.2   855.6  1265.6  5146.8 12671.8  51162.3    51267
read      449.7   894.6   160.7   210.8   225.6   380.9   447.2   479.5   500.9   525.5   554.3   611.9  2152.3 10780.1 39261.5  11816.7    11822
read      380.0   397.8   148.8   208.3   221.4   303.0   346.2   375.4   402.4   442.0   504.5   748.9  1679.2  3141.3 12329.0  97216.5    97494
read      314.3   226.7   148.8   204.2   214.5   282.1   323.3   350.7   372.7   402.0   443.0   503.8   630.0  2712.7  8039.1  97307.8    97350
read      404.7   451.0   160.7   204.5   216.2   326.5   414.2   470.8   515.3   575.9   658.8   788.1  1202.9  5394.9 14474.7  55529.0    55460
read      378.2   325.3   160.7   206.0   218.6   306.7   369.0   413.3   450.9   500.6   576.1   762.7  1388.7  3069.4 10188.0  86275.8    85984
read      352.4   258.1   148.8   204.9   216.2   295.3   351.8   391.7   425.4   468.9   527.3   640.5  1159.7  2434.4  9103.3  82093.5    82043
read      429.3   599.5   148.8   204.5   216.4   338.6   433.0   494.4   543.2   606.2   684.2   812.7  1297.2  7896.2 30337.8  52839.4    52873
read      440.0   837.8   160.7   207.4   221.5   381.3   458.4   494.6   517.5   541.8   573.6   623.3  1106.5 11080.5 32256.0  13895.1    13911
read      427.1   409.6   160.7   205.7   218.0   344.3   441.9   505.8   559.0   627.6   710.4   856.3  1278.2  4611.5 12853.4  49999.2    49984
read      439.8   861.9   160.7   216.2   232.7   382.4   436.3   463.4   482.2   502.6   530.1   574.6  1691.6  9750.5 37025.1   9297.0     9274
read      438.4   574.3   160.7   205.2   218.7   369.2   464.8   523.6   565.5   610.9   661.0   734.1  1086.7  7259.0 30066.3  27240.3    27187
read      426.7   541.3   160.7   206.0   219.6   372.7   466.2   514.5   544.1   576.6   614.0   668.0   881.3  6272.4 28735.9  18709.5    18735
read      365.2   384.5   148.8   207.4   219.9   302.1   357.3   394.2   424.9   465.7   523.8   640.4  1330.5  4430.9 15005.5  86334.3    86505
read      319.9   230.6   148.8   204.1   214.5   285.7   331.0   360.8   384.8   416.2   459.3   520.6   656.4  2388.3  8547.0  93075.7    93039
read      369.2   299.1   148.8   207.2   219.7   305.4   366.9   409.7   446.5   493.8   555.0   692.7  1256.8  2700.6  9873.6  75996.5    75999
read      443.9   604.1   160.7   204.8   217.7   368.9   466.0   526.4   574.4   628.7   690.8   791.0  1158.5  7337.7 31141.5  32347.9    32324
read      365.1   334.1   148.8   206.4   218.8   302.7   361.0   400.8   434.8   480.7   543.7   681.2  1265.0  2726.0 14790.7  84161.9    84255
read      362.8   292.5   148.8   206.3   218.7   303.0   361.5   401.2   435.0   480.0   541.0   672.9  1244.5  2550.2 10462.4  81701.8    81759
read      442.2   567.3   160.7   206.6   219.9   357.7   458.0   515.4   561.4   622.7   702.4   839.9  1252.0  7682.7 25068.8  37353.0    37291
read      441.5   463.7   160.7   207.0   220.0   338.3   440.7   507.5   565.8   646.2   756.0   969.8  1442.0  5878.5 17386.5  53840.9    53818
read      412.3   338.5   148.8   206.8   220.9   365.1   461.0   513.8   549.8   590.8   640.3   713.8   927.6  3844.9 12864.0  30216.6    30297
read      414.4   391.7   160.7   208.5   221.6   342.5   458.4   509.4   541.1   578.9   629.1   732.6  1142.3  5325.7 12020.9  31677.0    31569
read      396.2   369.4   148.8   206.8   220.0   324.1   427.9   483.9   519.1   556.9   607.9   706.1  1094.6  4569.9 11001.3  38877.5    38927
read      377.4   328.4   160.7   221.2   239.3   368.8   408.0   427.6   440.9   458.1   478.1   511.4   605.9  4131.9 12721.5  10640.8    10652
read      307.7   199.7   148.8   201.1   211.1   279.5   322.0   349.5   371.2   399.1   436.5   492.7   598.2  1233.8  8464.9  97995.6    98119
read      337.9   174.5   148.8   202.7   213.2   295.7   362.4   414.0   450.6   486.0   522.8   570.9   668.4  1121.4  7200.3  48203.8    48176
read      351.8   197.6   148.8   201.6   213.2   308.5   400.1   449.9   478.2   505.3   535.6   577.4   669.7  1343.7  8394.3  34906.4    34929
read      323.9   173.4   148.8   202.8   213.1   288.4   340.8   376.7   407.2   447.1   492.3   544.6   639.7  1020.4  7908.9  69583.5    69735
read      366.5   244.7   148.8   206.5   220.0   351.7   426.6   455.6   473.4   493.6   516.3   549.2   635.7  3042.8 10186.5  20700.9    20753
read      316.6   179.8   148.8   202.0   212.3   285.5   333.3   364.5   390.0   422.8   465.6   523.1   627.8  1096.3  7860.3  84561.1    84642
read      344.3   201.6   148.8   200.4   211.6   300.9   376.6   432.0   465.7   497.6   530.8   574.4   668.3  1298.1  8071.6  42233.2    42333
read      335.1   191.7   148.8   202.8   213.7   294.8   353.3   395.7   432.1   474.7   518.6   571.0   673.3  1510.1  8457.9  61635.7    61587
read      324.2   165.5   148.8   206.3   219.1   293.9   343.3   375.0   400.5   432.4   472.3   526.1   625.5  1049.8  6945.8  77871.5    77998
read      304.3   158.3   148.8   202.4   212.1   278.8   320.4   346.8   368.1   394.1   428.3   478.4   577.1  1105.8  5456.1  97826.6    97625
read      359.1   211.3   160.7   209.8   223.2   338.0   413.5   443.3   462.1   483.0   506.2   542.4   628.5  2556.7  8602.7  23728.7    23781
read      326.0   315.0   148.8   204.2   215.3   292.4   346.4   381.4   408.3   441.9   481.0   530.6   631.9  1224.0  7877.9  66634.2    66723

Total QPS = 52344.9 (41875932 / 800.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 10343355451 bytes :   12.3 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.95%,48.22%,100.00%
