Random waveform, supplied seed
Total number of intervals = 120 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791)
Average QPS expected = 51270
Timestamp start: 1684507117941
Timestamp end: 1684508318443

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      486.2   918.5   173.5   248.3   273.0   411.0   464.2   492.4   511.1   536.8   572.2   641.1  2184.9 14632.9 31941.7   7351.9     7434
read      426.4   373.0   160.7   209.0   222.8   340.2   432.0   495.8   549.4   621.3   717.2   883.0  1394.7  3870.1 13237.4  67106.8    67201
read      428.2   394.2   160.7   221.1   236.5   352.3   417.9   460.7   496.7   543.5   614.5   781.0  1752.8  3254.0 13123.1  85982.9    85927
read      428.5   423.1   160.7   212.8   226.6   334.0   420.5   484.7   535.6   599.5   694.7   903.6  1563.3  4438.7 15163.3  63776.6    63953
read      449.8   443.3   160.7   213.7   228.6   380.8   486.2   547.9   597.0   654.3   722.9   814.2  1108.8  5680.0 13788.0  31676.7    31595
read      365.9   349.8   160.7   211.1   223.9   305.2   354.0   387.3   415.4   456.3   516.8   622.6  1550.2  3640.3 12049.2  87854.0    87879
read      480.6   824.0   173.5   248.0   273.8   414.7   468.6   498.7   519.9   543.7   579.0   637.6  2284.8  9582.2 31818.7   7271.5     7287
read      413.3   368.9   160.7   211.6   225.1   327.9   414.2   477.7   528.3   588.8   673.5   845.3  1353.1  3690.9 12312.1  62357.7    62295
read      498.7  1076.9   173.5   252.6   280.0   411.1   462.3   490.7   509.6   534.7   568.4   634.4  2412.8 15516.4 37210.2   6550.2     6561
read      489.1   724.7   160.7   218.0   234.2   409.4   522.9   591.6   635.9   683.6   739.8   828.1  1221.3  9854.6 36264.9  22516.2    22532
read      458.9   420.5   160.7   214.5   228.9   358.6   463.2   534.8   595.0   676.8   791.9   996.2  1561.0  4301.8 12984.3  60873.3    60653
read      456.1   453.3   160.7   213.8   228.3   360.3   464.4   533.9   591.8   668.2   773.0   945.9  1492.8  5421.1 17215.4  59095.2    59076
read      455.1   445.9   160.7   212.8   227.1   356.7   462.2   535.4   595.5   672.7   777.3   953.7  1473.6  5110.7 13476.3  60118.4    60154
read      465.4   486.4   160.7   217.6   233.8   400.5   517.4   583.4   625.1   668.2   717.6   789.9  1046.9  5903.9 23973.4  22894.7    22964
read      490.5   931.2   173.5   243.1   268.0   422.2   479.9   509.6   530.7   552.6   586.8   642.1  2286.7 10143.3 32021.0   8146.7     8172
read      474.5   636.3   160.7   214.2   230.2   392.1   501.1   571.2   622.7   675.6   735.3   821.5  1237.0  8673.5 29969.0  27720.1    27652
read      458.0   435.2   160.7   213.9   229.3   384.8   489.0   557.1   612.6   675.2   747.0   849.2  1181.3  5682.1 13403.0  37642.6    37594
read      476.8   620.4   160.7   215.7   231.4   397.6   510.8   580.6   626.2   673.3   728.3   807.0  1224.3  6965.8 30921.0  24298.9    24367
read      473.3   596.6   160.7   214.3   230.0   388.5   493.6   563.9   618.6   679.2   747.3   850.1  1280.5  7483.5 28433.7  33813.2    33771
read      402.2   409.9   160.7   211.7   225.1   313.6   371.9   418.9   461.5   520.8   612.3   894.3  1653.5  3833.8 16513.4  84955.5    84944
read      367.7   317.6   160.7   210.0   222.8   304.9   359.0   397.7   432.1   480.3   547.7   675.0  1283.3  3054.6 12371.6  85669.9    85666
read      445.5   526.9   160.7   211.8   225.6   348.5   452.8   520.1   572.1   635.7   728.6   891.8  1443.4  6463.5 22178.1  51879.5    51918
read      481.0   562.9   160.7   216.1   231.1   393.6   502.3   575.0   634.9   704.4   786.0   913.9  1346.1  7785.6 28850.9  34367.1    34406
read      477.2   624.2   160.7   213.8   229.3   390.7   500.3   572.7   626.9   682.5   747.0   846.0  1281.7  8710.1 29106.6  28684.8    28664
read      471.3   590.3   160.7   214.0   229.3   385.7   489.1   557.2   614.5   681.9   761.4   877.3  1309.5  7996.4 29045.6  38273.3    38289
