Random waveform, supplied seed
Total number of intervals = 134 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116)
Average QPS expected = 52006
Timestamp start: 1684445203921
Timestamp end: 1684446004353

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      420.5   839.3   173.5   224.4   245.3   354.8   395.8   419.5   435.7   457.5   486.2   543.4  1845.0 11841.1 35433.6   7421.7     7434
read      405.8   330.7   160.7   204.4   215.3   315.5   395.0   453.9   512.5   597.3   710.8   914.8  1365.9  3102.8  9322.0  66831.8    67201
read      317.3   274.7   148.8   202.4   211.4   278.1   321.1   349.5   372.7   404.2   452.2   522.3   777.9  2191.5  9565.7  85956.8    85927
read      429.2   411.0   160.7   210.5   223.7   329.2   404.0   461.2   507.6   573.0   686.1  1024.7  1825.4  3360.7 12261.1  64124.0    63953
read      420.5   422.1   160.7   209.1   222.9   353.1   441.5   499.1   539.2   584.0   639.1   742.9  1338.0  5472.7 11675.1  31602.7    31595
read      341.2   309.4   148.8   202.8   212.1   284.9   336.5   370.7   399.6   440.1   500.1   618.0  1114.6  2933.8  9959.1  87791.2    87879
read      390.6   696.0   173.5   224.5   245.5   349.1   388.4   410.4   427.1   447.0   471.6   517.2   747.1  7310.2 36177.5   7301.7     7287
read      430.0   447.7   160.7   205.3   217.2   327.0   416.7   483.8   543.9   632.5   752.3   964.2  1477.3  5618.6 12850.0  62117.0    62295
read      399.4   830.3   173.5   225.6   248.9   350.5   390.3   411.7   427.5   446.6   470.8   517.0   863.6  8388.0 38977.5   6569.0     6561
read      431.7   745.2   160.7   207.5   221.3   360.8   447.0   504.2   541.3   578.7   620.7   679.3   986.4  9085.7 31850.1  22523.0    22532
read      434.0   633.6   160.7   204.1   215.4   328.2   417.5   483.7   544.7   625.6   726.5   910.9  1412.3  8638.4 30973.4  60653.7    60653
read      418.8   389.9   160.7   204.3   215.3   330.8   419.3   482.5   538.4   615.1   712.0   891.9  1376.5  4273.5 12039.4  59160.5    59076
read      425.8   427.7   160.7   206.2   218.5   330.4   419.4   483.8   540.5   621.6   736.6   943.8  1401.6  4565.3 12722.3  60114.7    60154
read      417.6   563.9   160.7   205.5   217.9   356.7   445.1   501.5   538.1   575.7   617.0   674.2   904.8  7846.0 29196.0  23040.0    22964
read      434.9   884.3   173.5   219.9   237.9   363.9   412.5   436.9   456.4   477.8   505.6   553.2  2020.5 10024.3 32198.0   8159.3     8172
read      424.1   517.9   160.7   206.9   220.2   364.8   448.3   506.3   550.1   595.0   642.4   709.2  1001.3  5838.6 30424.6  27597.5    27652
read      420.6   465.0   160.7   205.5   218.1   362.5   445.1   503.4   549.9   602.4   661.3   739.9  1042.3  4684.1 18078.7  37596.2    37594
read      427.4   626.6   160.7   205.3   217.7   357.4   445.6   505.8   544.7   583.3   625.5   684.7  1094.3  7170.3 30593.3  24363.0    24367
read      422.9   425.4   160.7   205.9   218.7   363.5   451.5   508.9   556.5   609.5   668.3   751.3  1031.2  5013.6 19166.2  33757.8    33771
read      344.9   348.6   160.7   202.6   212.1   285.6   338.2   374.4   405.4   448.5   507.4   629.7  1151.0  3293.0 12539.1  84843.2    84944
read      344.1   314.4   148.8   203.1   213.1   288.1   339.5   373.7   403.1   445.3   505.4   623.5  1120.0  3094.2 14901.2  85535.0    85666
read      392.2   516.1   160.7   202.3   212.0   312.0   394.7   448.6   491.4   545.6   625.5   748.2  1153.4  6305.5 28905.9  51946.8    51918
read      426.6   424.6   160.7   206.0   219.0   364.5   453.7   514.5   565.9   620.2   677.5   762.1  1051.7  5530.8 13799.7  34538.3    34406
read      424.0   431.6   160.7   206.5   219.7   365.5   453.4   514.2   559.4   607.2   659.1   733.2  1006.1  5096.6 12212.9  28673.7    28664
read      431.3   513.4   160.7   206.1   218.8   360.6   450.6   512.7   565.2   623.2   685.3   783.8  1103.3  5834.6 29017.7  38279.3    38289
read      436.7   836.2   160.7   204.8   217.0   356.3   445.9   501.1   534.6   568.4   605.2   656.8  1090.4 11031.1 36989.2  20598.7    20658
read      419.4   680.0   160.7   208.5   221.8   367.5   446.1   485.3   509.8   537.0   569.3   617.7   971.4  7779.8 32119.5  13906.3    13840
read      346.8   304.0   148.8   203.8   213.7   285.9   333.9   367.0   394.9   433.3   494.1   633.6  1416.6  2913.7  9494.0  93329.0    93419
read      305.8   304.3   148.8   201.7   210.5   272.3   312.1   337.6   358.0   384.6   422.9   483.6   613.2  2356.6 14081.0  98211.5    98284
read      347.9   237.1   148.8   202.7   212.3   288.3   345.9   390.1   426.7   473.0   534.5   649.1  1114.2  2554.4  7674.5  71315.8    71313
read      437.3   619.2   160.7   205.9   218.6   356.2   445.9   508.3   561.6   623.5   690.7   795.9  1230.9  7303.0 31304.6  41979.5    42089
read      431.9   498.5   160.7   205.8   218.8   353.3   443.9   505.9   559.1   622.8   695.6   811.4  1232.8  6446.2 19606.9  46260.7    46458
read      425.0   522.2   160.7   206.3   219.2   364.9   452.5   512.2   557.9   606.2   659.0   731.8  1002.5  5958.4 29858.6  30766.3    30755
read      427.8   434.2   160.7   206.2   219.1   356.4   446.9   510.1   562.8   623.2   691.5   796.9  1135.4  5371.0 16003.5  42923.0    42889
read      343.9   338.1   148.8   202.1   211.5   280.7   324.5   355.8   383.5   423.8   484.3   621.3  1436.9  3342.8 11046.6  93766.7    93552
read      402.1   477.2   148.8   203.6   214.0   309.0   389.1   447.2   495.3   558.8   659.1   850.7  1384.5  6045.3 15669.4  65820.8    65694
read      434.0   654.9   148.8   204.7   217.0   360.4   446.5   508.1   554.9   603.0   656.3   734.5  1079.1  8076.4 32425.3  29565.7    29574
read      423.6   483.8   160.7   204.7   216.5   345.8   436.1   499.1   551.5   615.8   690.3   808.8  1202.6  5651.3 21693.1  51349.0    51355
read      418.9   487.5   160.7   204.6   216.5   326.6   411.8   474.6   530.7   607.4   713.5   932.5  1508.0  3456.2 10885.3  67291.7    67361
read      429.1   430.7   160.7   211.8   226.4   381.6   473.3   521.7   551.1   582.9   621.2   676.9   909.6  5787.0 12573.1  16318.3    16287
read      356.6   295.1   148.8   204.4   215.5   291.2   344.4   383.7   418.2   465.4   532.1   686.5  1327.0  2595.1 10171.4  81622.2    81508
read      353.9   328.4   148.8   203.6   213.9   285.0   333.6   370.8   404.0   451.0   517.0   701.8  1429.6  2763.5 12290.8  87530.5    87619
read      299.7   269.8   148.8   199.2   208.6   268.4   305.8   329.8   348.6   373.9   412.9   474.9   593.9  2405.6 11421.0  99112.2    99068
read      409.8   409.8   148.8   203.0   213.7   331.2   420.6   479.9   530.7   598.4   686.4   819.9  1200.7  4134.6 13761.7  51339.5    51267
read      426.9   811.3   160.7   210.8   225.1   365.8   434.1   467.8   490.4   514.3   543.8   591.4  1568.3  9546.3 32121.0  11687.3    11822
read      414.9   434.4   160.7   206.0   218.5   308.5   346.4   372.1   398.5   444.8   553.5  1448.5  1738.1  2991.7 12316.9  97520.2    97494
read      317.5   281.9   148.8   201.9   211.1   277.1   318.2   344.1   365.4   393.0   433.3   502.5   821.3  3858.1  9268.3  97487.7    97350
read      407.8   467.2   148.8   204.1   215.0   314.3   399.5   460.6   508.2   572.5   670.3   848.5  1326.8  7261.7 12397.5  55557.5    55460
read      335.4   241.5   148.8   201.2   210.7   280.3   330.7   367.0   398.2   441.0   499.5   613.9  1105.7  2168.0  7801.0  85812.8    85984
read      332.3   266.5   148.8   199.5   209.2   276.3   325.4   362.7   395.0   438.1   496.8   608.4  1076.9  2027.0  9247.6  82076.3    82043
read      418.5   398.5   160.7   204.2   215.8   338.2   429.1   493.5   548.5   623.2   710.7   851.4  1196.4  5049.2  9432.3  52902.2    52873
read      435.1   814.0   160.7   207.0   220.0   364.0   440.7   478.8   503.1   530.3   562.3   614.9  2112.7 10178.0 35949.1  13940.5    13911
read      412.9   331.3   160.7   202.8   213.9   342.7   434.0   495.4   547.3   612.3   686.7   801.7  1150.4  4084.9 10024.0  50184.0    49984
read      415.8   890.1   160.7   213.1   228.9   356.4   406.7   433.1   451.5   470.5   497.7   539.9  1257.6 10081.3 33459.2   9271.2     9274
read      414.8   428.2   160.7   204.0   216.3   360.2   447.4   505.7   547.3   589.6   636.6   701.3   921.9  5896.0 13781.4  27207.5    27187
read      473.7  1070.4   160.7   204.1   216.4   356.5   448.7   500.1   531.4   563.8   600.3   666.9  2833.5 14863.0 32315.7  18734.2    18735
